arrest_year,sex,age_cohort,category,neighbourhood
2022,Male,18 to 24,Crimes Against Property,Stonegate-Queensway
2022,Male,25 to 34,Crimes Against the Person,Junction Area
2022,Male,25 to 34,Crimes Against the Person,NSA
2022,Female,25 to 34,Other Criminal Code Violations,Eglinton East
2022,Female,45 to 54,Crimes Against Property,Moss Park
2022,Female,25 to 34,Crimes Against the Person,Bedford Park-Nortown
2022,Male,18 to 24,Crimes Against the Person,University
2022,Female,35 to 44,Crimes Against the Person,York University Heights
2022,Male,<18,Other Criminal Code Violations,Thistletown-Beaumond Heights
2022,Female,35 to 44,Crimes Against the Person,Centennial Scarborough
2022,Male,25 to 34,Crimes Against the Person,Weston-Pelham Park
2022,Male,18 to 24,Crimes Against the Person,Birchcliffe-Cliffside
2022,Female,35 to 44,Crimes Against Property,Junction-Wallace Emerson
2022,Female,45 to 54,Crimes Against the Person,Rosedale-Moore Park
2022,Male,25 to 34,Crimes Against Property,Mount Olive-Silverstone-Jamestown
2022,Male,18 to 24,Other Criminal Code Violations,East Willowdale
2022,Male,35 to 44,Crimes Against Property,Greenwood-Coxwell
2022,Male,25 to 34,Criminal Code Traffic,Annex
2022,Male,55 to 64,Crimes Against the Person,Palmerston-Little Italy
2022,Male,25 to 34,Other Criminal Code Violations,West Rouge
2022,Male,18 to 24,Crimes Against the Person,Woodbine-Lumsden
2022,Male,<18,Crimes Against the Person,Mount Olive-Silverstone-Jamestown
2022,Male,25 to 34,Crimes Against the Person,Corso Italia-Davenport
2022,Female,18 to 24,Crimes Against Property,West Rouge
2022,Male,18 to 24,Crimes Against Property,Lambton Baby Point
2022,Male,35 to 44,Crimes Against the Person,Yorkdale-Glen Park
2022,Female,25 to 34,Crimes Against the Person,Wychwood
2022,Male,45 to 54,Other Criminal Code Violations,Glenfield-Jane Heights
2022,Female,45 to 54,Crimes Against the Person,Junction-Wallace Emerson
2022,Female,35 to 44,Crimes Against the Person,Little Portugal
2022,Male,25 to 34,Crimes Against the Person,Victoria Village
2022,Female,<18,Crimes Against the Person,Oakdale-Beverley Heights
2022,Female,35 to 44,Crimes Against the Person,Black Creek
2022,Female,45 to 54,Crimes Against the Person,St Lawrence-East Bayfront-The Islands
2022,Male,25 to 34,Crimes Against Property,Blake-Jones
2022,Male,35 to 44,Crimes Against Property,West Rouge
2022,Male,35 to 44,Crimes Against the Person,Kingsview Village-The Westway
