arrest_year,sex,age_cohort,category,neighbourhood
2016,Male,18 to 24,Crimes Against the Person,Parkwoods-O'Connor Hills
2018,Male,25 to 34,Controlled Drugs and Substances Act,West Queen West
2015,Male,45 to 54,Crimes Against Property,Junction-Wallace Emerson
2019,Male,25 to 34,Other Criminal Code Violations,Ionview
2016,Male,25 to 34,Crimes Against the Person,West Queen West
2014,Female,55 to 64,Crimes Against Property,Roncesvalles
2020,Male,65+,Crimes Against the Person,Annex
2014,Male,<18,Controlled Drugs and Substances Act,Englemount-Lawrence
2016,Male,18 to 24,Crimes Against the Person,High Park North
2016,Female,25 to 34,Crimes Against Property,Bendale South
2016,Male,65+,Other Criminal Code Violations,Oakwood Village
2016,Male,25 to 34,Other Criminal Code Violations,Mount Dennis
2018,Male,35 to 44,Crimes Against the Person,Agincourt South-Malvern West
2018,Female,<18,Controlled Drugs and Substances Act,Roncesvalles
2014,Female,25 to 34,Crimes Against Property,Kensington-Chinatown
2018,Male,55 to 64,Crimes Against Property,York University Heights
2016,Male,45 to 54,Crimes Against the Person,Broadview North
2015,Male,45 to 54,Crimes Against the Person,Humber Bay Shores
2017,Male,25 to 34,Crimes Against Property,Woodbine Corridor
2017,Male,35 to 44,Other Criminal Code Violations,Downsview
2016,Female,<18,Crimes Against Property,Lansing-Westgate
2017,Male,18 to 24,Crimes Against Property,Leaside-Bennington
2021,Male,18 to 24,Crimes Against the Person,Regent Park
2015,Male,25 to 34,Crimes Against the Person,York University Heights
2022,Male,35 to 44,Crimes Against Property,Don Valley Village
2015,Male,65+,Crimes Against Property,Oakridge
2021,Male,35 to 44,Crimes Against Property,Yonge-Doris
2022,Female,25 to 34,Crimes Against the Person,Alderwood
2022,Female,25 to 34,Crimes Against the Person,Harbourfront-CityPlace
2018,Female,25 to 34,Other Criminal Code Violations,South Eglinton-Davisville
2020,Male,55 to 64,Crimes Against the Person,Mount Pleasant East
2016,Female,<18,Controlled Drugs and Substances Act,Woodbine-Lumsden
2021,Male,45 to 54,Crimes Against the Person,NSA
2014,Female,25 to 34,Criminal Code Traffic,South Parkdale
2016,Male,55 to 64,Other Criminal Code Violations,Banbury-Don Mills
2020,Female,25 to 34,Other Criminal Code Violations,Harbourfront-CityPlace
2020,Male,25 to 34,Other Criminal Code Violations,Pelmo Park-Humberlea
2018,Female,35 to 44,Crimes Against Property,Bendale South
2019,Male,45 to 54,Other Criminal Code Violations,Rockcliffe-Smythe
2021,Male,55 to 64,Other Criminal Code Violations,Thorncliffe Park
2015,Male,55 to 64,Other Criminal Code Violations,Kennedy Park
2022,Female,<18,Crimes Against the Person,Agincourt South-Malvern West
2021,Female,18 to 24,Crimes Against the Person,Willowdale West
2018,Male,<18,Criminal Code Traffic,Birchcliffe-Cliffside
2020,Male,18 to 24,Crimes Against the Person,Church-Wellesley
2019,Female,25 to 34,Crimes Against the Person,South Riverdale
2015,Male,35 to 44,Crimes Against Property,Woburn North
2014,Female,35 to 44,Controlled Drugs and Substances Act,St Lawrence-East Bayfront-The Islands
2016,Male,35 to 44,Crimes Against the Person,Kingsway South
2019,Male,25 to 34,Other Criminal Code Violations,Agincourt South-Malvern West
2019,Female,25 to 34,Controlled Drugs and Substances Act,Oakridge
2017,Male,25 to 34,Crimes Against Property,Mount Pleasant East
2018,Male,18 to 24,Crimes Against the Person,Don Valley Village
2016,Male,25 to 34,Crimes Against Property,NSA
2022,Female,35 to 44,Crimes Against Property,Englemount-Lawrence
2017,Female,55 to 64,Crimes Against Property,North St.James Town
2016,Female,25 to 34,Crimes Against the Person,Humber Bay Shores
2018,Female,<18,Other Criminal Code Violations,Ionview
2017,Male,18 to 24,Crimes Against Property,Agincourt North
2015,Female,45 to 54,Crimes Against Property,Junction-Wallace Emerson
2017,Female,55 to 64,Other Criminal Code Violations,Humber Summit
2014,Female,45 to 54,Criminal Code Traffic,Kennedy Park
2020,Male,35 to 44,Criminal Code Traffic,Newtonbrook East
2015,Male,18 to 24,Crimes Against Property,East End-Danforth
2017,Male,25 to 34,Controlled Drugs and Substances Act,NSA
2019,Female,18 to 24,Other Criminal Code Violations,NSA
2018,Male,25 to 34,Crimes Against Property,Newtonbrook East
2015,Male,55 to 64,Crimes Against Property,West Humber-Clairville
2018,Male,45 to 54,Crimes Against Property,St.Andrew-Windfields
2019,Male,65+,Crimes Against Property,Bay-Cloverhill
2014,Male,25 to 34,Criminal Code Traffic,Harbourfront-CityPlace
2021,Male,45 to 54,Crimes Against Property,Danforth
2015,Male,<18,Crimes Against the Person,Rockcliffe-Smythe
2021,Male,45 to 54,Crimes Against the Person,Downtown Yonge East
2019,Male,35 to 44,Crimes Against the Person,Malvern East
2014,Male,18 to 24,Controlled Drugs and Substances Act,Dovercourt Village
2022,Male,25 to 34,Crimes Against the Person,Banbury-Don Mills
2015,Female,25 to 34,Crimes Against the Person,O'Connor-Parkview
2020,Female,35 to 44,Other Criminal Code Violations,Newtonbrook West
2019,Female,45 to 54,Crimes Against Property,Scarborough Village
2015,Male,45 to 54,Crimes Against Property,Yorkdale-Glen Park
2018,Female,35 to 44,Crimes Against the Person,York University Heights
2017,Male,<18,Crimes Against the Person,Centennial Scarborough
2017,Male,18 to 24,Crimes Against the Person,St.Andrew-Windfields
2021,Female,25 to 34,Other Criminal Code Violations,Downtown Yonge East
2018,Female,35 to 44,Other Criminal Code Violations,Wellington Place
2020,Female,18 to 24,Crimes Against Property,Kensington-Chinatown
2022,Male,35 to 44,Other Criminal Code Violations,North Toronto
2018,Female,18 to 24,Crimes Against Property,University
2019,Male,18 to 24,Crimes Against Property,Clairlea-Birchmount
2020,Male,35 to 44,Crimes Against Property,Agincourt South-Malvern West
2020,Male,25 to 34,Controlled Drugs and Substances Act,Playter Estates-Danforth
2022,Male,35 to 44,Crimes Against Property,Flemingdon Park
2022,Female,25 to 34,Crimes Against Property,Kennedy Park
2017,Male,18 to 24,Crimes Against Property,South Parkdale
2021,Male,35 to 44,Crimes Against the Person,Downtown Yonge East
2019,Female,35 to 44,Crimes Against the Person,Glenfield-Jane Heights
2022,Male,25 to 34,Other Criminal Code Violations,Briar Hill-Belgravia
2017,Male,45 to 54,Crimes Against Property,Cabbagetown-South St.James Town
2019,Male,18 to 24,Other Criminal Code Violations,Taylor-Massey
2019,Male,18 to 24,Other Criminal Code Violations,Etobicoke West Mall
2020,Male,18 to 24,Crimes Against the Person,Bayview Woods-Steeles
2019,Male,55 to 64,Crimes Against the Person,East End-Danforth
2015,Female,<18,Crimes Against the Person,Cliffcrest
2014,Male,55 to 64,Controlled Drugs and Substances Act,West Hill
2016,Female,18 to 24,Controlled Drugs and Substances Act,Mimico-Queensway
2021,Female,18 to 24,Crimes Against the Person,Palmerston-Little Italy
2020,Male,55 to 64,Crimes Against the Person,Downtown Yonge East
2022,Male,35 to 44,Crimes Against the Person,Keelesdale-Eglinton West
2018,Female,45 to 54,Controlled Drugs and Substances Act,South Parkdale
2018,Male,35 to 44,Crimes Against Property,Bathurst Manor
2016,Male,45 to 54,Crimes Against the Person,Yonge-Eglinton
2022,Male,45 to 54,Crimes Against Property,NSA
2014,Male,18 to 24,Crimes Against the Person,York University Heights
2019,Male,35 to 44,Crimes Against the Person,Bendale South
2021,Female,35 to 44,Crimes Against the Person,Church-Wellesley
2016,Male,<18,Crimes Against the Person,Banbury-Don Mills
2022,Male,25 to 34,Crimes Against Property,Maple Leaf
2017,Male,45 to 54,Other Criminal Code Violations,Roncesvalles
2014,Male,55 to 64,Other Criminal Code Violations,Woodbine-Lumsden
2016,Female,35 to 44,Crimes Against Property,South Eglinton-Davisville
2014,Male,45 to 54,Crimes Against the Person,NSA
2022,Male,55 to 64,Other Criminal Code Violations,Taylor-Massey
2016,Male,25 to 34,Criminal Code Traffic,Woodbine-Lumsden
2017,Male,18 to 24,Crimes Against Property,Harbourfront-CityPlace
2021,Male,<18,Crimes Against the Person,NSA
2019,Male,55 to 64,Crimes Against Property,South Riverdale
2017,Male,45 to 54,Other Criminal Code Violations,Brookhaven-Amesbury
2022,Female,45 to 54,Crimes Against the Person,Corso Italia-Davenport
2015,Male,<18,Crimes Against Property,Guildwood
2022,Male,45 to 54,Crimes Against Property,Newtonbrook West
2021,Male,18 to 24,Crimes Against the Person,Blake-Jones
2022,Male,18 to 24,Crimes Against Property,Clairlea-Birchmount
2022,Male,35 to 44,Other Criminal Code Violations,St Lawrence-East Bayfront-The Islands
2018,Male,18 to 24,Other Criminal Code Violations,West Humber-Clairville
2018,Male,25 to 34,Criminal Code Traffic,East L'Amoreaux
2022,Male,25 to 34,Crimes Against the Person,Westminster-Branson
2022,Male,25 to 34,Other Criminal Code Violations,East L'Amoreaux
2015,Female,<18,Crimes Against the Person,Humber Summit
2016,Female,35 to 44,Crimes Against the Person,Englemount-Lawrence
2017,Male,45 to 54,Other Criminal Code Violations,University
2016,Male,55 to 64,Crimes Against the Person,East Willowdale
2019,Female,45 to 54,Other Criminal Code Violations,Rosedale-Moore Park
