_id,ARREST_YEAR,DIVISION,HOOD_158,NEIGHBOURHOOD_158,SEX,AGE_COHORT,AGE_GROUP,CATEGORY,SUBTYPE,ARREST_COUNT
28338,2019,D55,69,Blake-Jones (69),Male,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
28339,2014,D53,98,Rosedale-Moore Park (98),Male,55 to 64,Adult,Crimes Against the Person,Robbery,1
28340,2018,D43,156,Bendale-Glen Andrew (156),Male,55 to 64,Adult,Crimes Against the Person,Other,1
28341,2018,D32,31,Yorkdale-Glen Park (31),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,34
28342,2019,D14,85,South Parkdale (85),Male,25 to 34,Adult,Crimes Against the Person,Sexual Violations,2
28343,2020,D43,156,Bendale-Glen Andrew (156),Male,18 to 24,Adult,Crimes Against the Person,Other,2
28344,2016,D42,130,Milliken (130),Male,55 to 64,Adult,Crimes Against Property,Theft Under $5000,4
28345,2022,D55,61,Taylor-Massey (61),Male,18 to 24,Adult,Crimes Against the Person,Other,4
28346,2021,D53,99,Mount Pleasant East (99),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,1
28347,2017,D55,44,Flemingdon Park (44),Male,35 to 44,Adult,Crimes Against the Person,Firearm-Related,1
28348,2021,D33,47,Don Valley Village (47),Female,65+,Adult,Crimes Against Property,Theft Under $5000,1
28349,2021,D51,74,North St.James Town (74),Male,45 to 54,Adult,Controlled Drugs and Substances Act,Other,7
28350,2021,D53,95,Annex (95),Male,35 to 44,Adult,Other Criminal Code Violations,Other,19
28351,2020,D41,124,Kennedy Park (124),Male,55 to 64,Adult,Crimes Against Property,Break and Enter,1
28352,2018,D43,136,West Hill (136),Male,<18,Youth,Other Criminal Code Violations,Other,26
28353,2018,D55,69,Blake-Jones (69),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,2
28354,2017,D55,43,Victoria Village (43),Female,45 to 54,Adult,Other Criminal Code Violations,Firearm-Related,1
28355,2016,D14,78,Kensington-Chinatown (78),Male,18 to 24,Adult,Crimes Against the Person,Assaults,15
28356,2015,D14,95,Annex (95),Male,35 to 44,Adult,Crimes Against Property,Fraud,1
28357,2022,D14,165,Harbourfront-CityPlace (165),Female,25 to 34,Adult,Crimes Against Property,Other,8
28358,2016,D52,170,Yonge-Bay Corridor (170),Female,25 to 34,Adult,Crimes Against the Person,Other,2
28359,2015,D41,122,Birchcliffe-Cliffside (122),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
28360,2017,D22,11,Eringate-Centennial-West Deane (11),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,1
28361,2018,D33,52,Bayview Village (52),Male,45 to 54,Adult,Crimes Against the Person,Assaults,6
28362,2021,D41,121,Oakridge (121),Male,18 to 24,Adult,Crimes Against the Person,Assaults,11
28363,2018,D51,168,Downtown Yonge East (168),Male,35 to 44,Adult,Crimes Against the Person,Other,4
28364,2014,D31,155,Downsview (155),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,2
28365,2016,D52,78,Kensington-Chinatown (78),Male,35 to 44,Adult,Other Criminal Code Violations,Other,19
28366,2014,D14,165,Harbourfront-CityPlace (165),Male,35 to 44,Adult,Crimes Against the Person,Assaults,3
28367,2014,D41,126,Dorset Park (126),Male,18 to 24,Adult,Crimes Against Property,Other,13
28368,2019,D22,16,Stonegate-Queensway (16),Male,45 to 54,Adult,Other Criminal Code Violations,Other,3
28369,2022,D32,152,East Willowdale (152),Male,<18,Youth,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
28370,2015,D32,31,Yorkdale-Glen Park (31),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,3
28371,2016,D31,24,Black Creek (24),Female,<18,Youth,Crimes Against Property,Other,1
28372,2022,D31,21,Humber Summit (21),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,2
28373,2020,D55,44,Flemingdon Park (44),Male,35 to 44,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
28374,2018,D32,105,Lawrence Park North (105),Male,65+,Adult,Crimes Against the Person,Assaults,1
28375,2021,D43,142,Woburn North (142),Male,<18,Youth,Other Criminal Code Violations,Firearm-Related,2
28376,2015,D55,59,Danforth East York (59),Male,25 to 34,Adult,Crimes Against the Person,Assaults,8
28377,2021,D41,121,Oakridge (121),Male,55 to 64,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3
28378,2022,D14,78,Kensington-Chinatown (78),Male,25 to 34,Adult,Crimes Against Property,Other,16
28379,2021,D14,85,South Parkdale (85),Female,45 to 54,Adult,Crimes Against the Person,Assaults,2
28380,2014,D12,23,Pelmo Park-Humberlea (23),Female,18 to 24,Adult,Crimes Against Property,Other,1
28381,2017,D43,123,Cliffcrest (123),Male,18 to 24,Adult,Crimes Against the Person,Other,4
28382,2020,D22,9,Edenbridge-Humber Valley (9),Male,45 to 54,Adult,Crimes Against the Person,Robbery,1
28383,2016,D52,166,St Lawrence-East Bayfront-The Islands (166),Female,25 to 34,Adult,Crimes Against the Person,Assaults,2
28384,2021,D33,53,Henry Farm (53),Male,<18,Youth,Crimes Against Property,Other,3
28385,2021,D12,113,Weston (113),Female,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
28386,2016,D41,121,Oakridge (121),Male,55 to 64,Adult,Criminal Code Traffic,Dangerous Driving,3
28387,2022,D13,107,Oakwood Village (107),Male,55 to 64,Adult,Crimes Against the Person,Sexual Violations,1
28388,2022,D43,134,Highland Creek (134),Male,45 to 54,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
28389,2016,D41,126,Dorset Park (126),Male,18 to 24,Adult,Other Criminal Code Violations,Firearm-Related,5
28390,2015,D13,107,Oakwood Village (107),Male,25 to 34,Adult,Crimes Against the Person,Assaults,20
28391,2021,D41,126,Dorset Park (126),Male,45 to 54,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
28392,2015,D31,155,Downsview (155),Male,25 to 34,Adult,Other Criminal Code Violations,Firearm-Related,2
28393,2020,D12,28,Rustic (28),Female,55 to 64,Adult,Crimes Against Property,Other,1
28394,2018,D55,62,East End-Danforth (62),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,5
28395,2017,D31,NSA,NSA,Male,18 to 24,Adult,Criminal Code Traffic,Other,1
28396,2014,D12,112,Beechborough-Greenbrook (112),Male,<18,Youth,Crimes Against the Person,Other,1
28397,2018,D55,65,Greenwood-Coxwell (65),Male,18 to 24,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
28398,2022,D32,38,Lansing-Westgate (38),Male,35 to 44,Adult,Crimes Against Property,Fraud,2
28399,2015,D51,166,St Lawrence-East Bayfront-The Islands (166),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,4
28400,2017,D52,168,Downtown Yonge East (168),Male,18 to 24,Adult,Other Criminal Code Violations,Other,5
28401,2022,D53,95,Annex (95),Male,18 to 24,Adult,Crimes Against Property,Other,9
28402,2022,D33,46,Pleasant View (46),Male,65+,Adult,Crimes Against the Person,Assaults,1
28403,2019,D41,121,Oakridge (121),Male,55 to 64,Adult,Controlled Drugs and Substances Act,Other,1
28404,2020,D22,9,Edenbridge-Humber Valley (9),Male,25 to 34,Adult,Crimes Against the Person,Assaults,5
28405,2017,D55,62,East End-Danforth (62),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,2
28406,2019,D23,7,Willowridge-Martingrove-Richview (7),Male,35 to 44,Adult,Crimes Against the Person,Assaults,7
28407,2016,D52,169,Bay-Cloverhill (169),Male,55 to 64,Adult,Crimes Against Property,Other,1
28408,2018,D42,145,Malvern West (145),Male,35 to 44,Adult,Criminal Code Traffic,Refuse Sample,2
28409,2021,D14,165,Harbourfront-CityPlace (165),Female,18 to 24,Adult,Controlled Drugs and Substances Act,Other,3
28410,2022,D43,135,Morningside (135),Male,45 to 54,Adult,Crimes Against Property,Other,2
28411,2015,D55,62,East End-Danforth (62),Female,55 to 64,Adult,Crimes Against Property,Other,2
28412,2018,D32,50,Newtonbrook East (50),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,1
28413,2017,D52,169,Bay-Cloverhill (169),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,7
28414,2021,D11,88,High Park North (88),Male,35 to 44,Adult,Crimes Against Property,Other,6
28415,2017,D43,138,Eglinton East (138),Female,45 to 54,Adult,Criminal Code Traffic,Drive While Disqualified,1
28416,2014,D12,111,Rockcliffe-Smythe (111),Male,65+,Adult,Other Criminal Code Violations,Other,2
28417,2022,D12,23,Pelmo Park-Humberlea (23),Male,55 to 64,Adult,Other Criminal Code Violations,Other,5
28418,2022,D42,144,Morningside Heights (144),Male,18 to 24,Adult,Crimes Against the Person,Robbery,1
28419,2014,D43,141,Golfdale-Cedarbrae-Woburn (141),Male,18 to 24,Adult,Crimes Against the Person,Attempted Murder,2
28420,2015,D41,126,Dorset Park (126),Male,45 to 54,Adult,Crimes Against the Person,Sexual Violations,2
28421,2017,NSA,NSA,NSA,Female,25 to 34,Adult,Crimes Against the Person,Assaults,2
28422,2021,D42,145,Malvern West (145),Female,35 to 44,Adult,Crimes Against the Person,Other,2
28423,2017,D13,92,Corso Italia-Davenport (92),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
28424,2014,D31,27,York University Heights (27),Female,35 to 44,Adult,Crimes Against Property,Fraud,1
28425,2018,D43,156,Bendale-Glen Andrew (156),Male,<18,Youth,Crimes Against the Person,Sexual Violations,1
28426,2015,D53,100,Yonge-Eglinton (100),Male,<18,Youth,Crimes Against the Person,Other,2
28427,2015,D51,74,North St.James Town (74),Male,45 to 54,Adult,Other Criminal Code Violations,Firearm-Related,1
28428,2016,D11,90,Junction Area (90),Male,55 to 64,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
28429,2019,D42,147,L'Amoreaux West (147),Male,45 to 54,Adult,Controlled Drugs and Substances Act,Other,1
28430,2017,D43,139,Scarborough Village (139),Male,55 to 64,Adult,Controlled Drugs and Substances Act,Other,1
28431,2021,D12,115,Mount Dennis (115),Female,18 to 24,Adult,Crimes Against the Person,Assaults,1
28432,2019,D13,108,Briar Hill-Belgravia (108),Male,<18,Youth,Crimes Against the Person,Other,1
28433,2014,D31,27,York University Heights (27),Female,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
28434,2016,D14,164,Wellington Place (164),Male,55 to 64,Adult,Crimes Against Property,Other,1
28435,2018,D22,19,Long Branch (19),Female,18 to 24,Adult,Crimes Against the Person,Other,2
28436,2020,D31,27,York University Heights (27),Male,<18,Youth,Crimes Against Property,Other,5
28437,2017,D33,42,Banbury-Don Mills (42),Female,25 to 34,Adult,Crimes Against Property,Fraud,2
28438,2014,D14,95,Annex (95),Male,18 to 24,Adult,Crimes Against the Person,Sexual Violations,1
28439,2016,D33,53,Henry Farm (53),Male,18 to 24,Adult,Crimes Against Property,Other,8
28440,2018,D22,15,Kingsway South (15),Female,25 to 34,Adult,Other Criminal Code Violations,Other,1
28441,2016,D43,123,Cliffcrest (123),Male,<18,Youth,Crimes Against the Person,Robbery,3
28442,2015,D22,12,Markland Wood (12),Male,18 to 24,Adult,Crimes Against the Person,Assaults,3
28443,2016,D22,18,New Toronto (18),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,6
28444,2019,D22,19,Long Branch (19),Male,<18,Youth,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
28445,2021,D41,120,Clairlea-Birchmount (120),Female,45 to 54,Adult,Crimes Against Property,Other,1
28446,2017,D22,159,Etobicoke City Centre (159),Female,25 to 34,Adult,Crimes Against the Person,Other,1
28447,2018,D14,164,Wellington Place (164),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,22
28448,2018,D41,122,Birchcliffe-Cliffside (122),Male,18 to 24,Adult,Criminal Code Traffic,Dangerous Driving,1
28449,2015,D33,53,Henry Farm (53),Male,18 to 24,Adult,Other Criminal Code Violations,Other,8
28450,2017,D55,57,Broadview North (57),Male,55 to 64,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
28451,2018,D52,166,St Lawrence-East Bayfront-The Islands (166),Male,18 to 24,Adult,Crimes Against the Person,Robbery,1
28452,2016,D42,146,Malvern East (146),Female,25 to 34,Adult,Crimes Against Property,Other,1
28453,2017,D23,6,Kingsview Village-The Westway (6),Male,18 to 24,Adult,Crimes Against the Person,Firearm-Related,3
28454,2015,D55,67,Playter Estates-Danforth (67),Male,55 to 64,Adult,Crimes Against the Person,Assaults,4
28455,2021,D22,15,Kingsway South (15),Female,45 to 54,Adult,Crimes Against Property,Theft Under $5000,2
28456,2021,D31,21,Humber Summit (21),Male,35 to 44,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3
28457,2017,D55,63,The Beaches (63),Male,25 to 34,Adult,Crimes Against the Person,Sexual Violations,1
28458,2022,D12,115,Mount Dennis (115),Female,25 to 34,Adult,Crimes Against the Person,Assaults,1
28459,2022,D12,91,Weston-Pelham Park (91),Male,45 to 54,Adult,Crimes Against the Person,Assaults,1
28460,2017,D33,43,Victoria Village (43),Male,25 to 34,Adult,Other Criminal Code Violations,Firearm-Related,2
28461,2015,D55,70,South Riverdale (70),Male,55 to 64,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
28462,2014,D42,129,Agincourt North (129),Female,<18,Youth,Crimes Against the Person,Robbery,1
28463,2019,D52,170,Yonge-Bay Corridor (170),Female,25 to 34,Adult,Other Criminal Code Violations,Other,89
28464,2018,D32,31,Yorkdale-Glen Park (31),Female,35 to 44,Adult,Crimes Against the Person,Assaults,1
28465,2014,D13,108,Briar Hill-Belgravia (108),Female,18 to 24,Adult,Crimes Against Property,Theft Under $5000,1
28466,2022,D22,10,Princess-Rosethorn (10),Male,35 to 44,Adult,Crimes Against Property,Other,1
28467,2020,D43,136,West Hill (136),Male,18 to 24,Adult,Crimes Against the Person,Other,12
28468,2022,D32,38,Lansing-Westgate (38),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,1
28469,2017,D33,150,Fenside-Parkwoods (150),Female,18 to 24,Adult,Crimes Against the Person,Assaults,3
28470,2015,D14,165,Harbourfront-CityPlace (165),Male,18 to 24,Adult,Crimes Against the Person,Assaults,7
28471,2017,D11,91,Weston-Pelham Park (91),Male,25 to 34,Adult,Crimes Against Property,Break and Enter,1
28472,2016,D43,123,Cliffcrest (123),Female,35 to 44,Adult,Crimes Against Property,Break and Enter,1
28473,2020,D32,105,Lawrence Park North (105),Male,<18,Youth,Crimes Against the Person,Robbery,1
28474,2017,D32,31,Yorkdale-Glen Park (31),Female,<18,Youth,Crimes Against Property,Fraud,2
28475,2021,D33,40,St.Andrew-Windfields (40),Male,25 to 34,Adult,Crimes Against the Person,Other,1
28476,2014,D13,106,Humewood-Cedarvale (106),Male,45 to 54,Adult,Other Criminal Code Violations,Other,5
28477,2016,D14,84,Little Portugal (84),Male,18 to 24,Adult,Criminal Code Traffic,Other,1
28478,2014,D22,13,Etobicoke West Mall (13),Male,<18,Youth,Crimes Against the Person,Sexual Violations,1
28479,2018,D31,22,Humbermede (22),Female,45 to 54,Adult,Other Criminal Code Violations,Other,4
28480,2022,D33,48,Hillcrest Village (48),Female,25 to 34,Adult,Crimes Against the Person,Assaults,1
28481,2014,D14,79,University (79),Female,45 to 54,Adult,Controlled Drugs and Substances Act,Other,1
28482,2019,D41,120,Clairlea-Birchmount (120),Female,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3
28483,2015,D12,30,Brookhaven-Amesbury (30),Female,45 to 54,Adult,Other Criminal Code Violations,Other,1
28484,2015,D32,52,Bayview Village (52),Male,55 to 64,Adult,Other Criminal Code Violations,Other,1
28485,2015,D12,115,Mount Dennis (115),Male,45 to 54,Adult,Other Federal Statute Violations,Other,1
28486,2018,D41,156,Bendale-Glen Andrew (156),Male,<18,Youth,Crimes Against the Person,Assaults,3
28487,2022,D55,63,The Beaches (63),Male,35 to 44,Adult,Crimes Against the Person,Assaults,13
28488,2018,D55,59,Danforth East York (59),Male,25 to 34,Adult,Other Criminal Code Violations,Other,5
28489,2014,D43,139,Scarborough Village (139),Male,<18,Youth,Crimes Against the Person,Assaults,2
28490,2014,D42,144,Morningside Heights (144),Male,18 to 24,Adult,Other Criminal Code Violations,Firearm-Related,3
28491,2015,D53,98,Rosedale-Moore Park (98),Female,35 to 44,Adult,Crimes Against Property,Fraud,1
28492,2014,D32,34,Bathurst Manor (34),Male,25 to 34,Adult,Criminal Code Traffic,Other,1
28493,2017,D55,44,Flemingdon Park (44),Male,45 to 54,Adult,Crimes Against Property,Other,1
28494,2020,D14,172,Dovercourt Village (172),Male,25 to 34,Adult,Crimes Against the Person,Robbery,1
28495,2022,D55,70,South Riverdale (70),Female,25 to 34,Adult,Crimes Against Property,Other,4
28496,2019,D13,31,Yorkdale-Glen Park (31),Male,18 to 24,Adult,Crimes Against the Person,Robbery,2
28497,2022,D51,166,St Lawrence-East Bayfront-The Islands (166),Female,35 to 44,Adult,Controlled Drugs and Substances Act,Other,1
28498,2020,D12,30,Brookhaven-Amesbury (30),Female,35 to 44,Adult,Crimes Against the Person,Assaults,1
28499,2016,D33,150,Fenside-Parkwoods (150),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,2
28500,2021,D55,43,Victoria Village (43),Male,18 to 24,Adult,Other Criminal Code Violations,Other,1
28501,2017,D53,97,Yonge-St.Clair (97),Male,25 to 34,Adult,Other Criminal Code Violations,Other,4
28502,2014,D33,46,Pleasant View (46),Male,<18,Youth,Crimes Against the Person,Assaults,1
28503,2017,D33,46,Pleasant View (46),Male,65+,Adult,Crimes Against the Person,Other,1
28504,2019,D32,155,Downsview (155),Male,18 to 24,Adult,Crimes Against the Person,Other,2
28505,2019,D23,5,Elms-Old Rexdale (5),Female,35 to 44,Adult,Crimes Against the Person,Assaults,2
28506,2019,D42,146,Malvern East (146),Male,55 to 64,Adult,Crimes Against the Person,Assaults,9
28507,2021,D32,32,Englemount-Lawrence (32),Male,25 to 34,Adult,Crimes Against Property,Other,2
28508,2014,D51,73,Moss Park (73),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,3
28509,2021,D12,110,Keelesdale-Eglinton West (110),Male,55 to 64,Adult,Crimes Against Property,Theft Under $5000,2
28510,2017,D42,146,Malvern East (146),Male,<18,Youth,Crimes Against the Person,Sexual Violations,1
28511,2020,D42,144,Morningside Heights (144),Female,<18,Youth,Crimes Against the Person,Assaults,1
28512,2020,D23,1,West Humber-Clairville (1),Male,<18,Youth,Crimes Against the Person,Assaults,2
28513,2018,D23,1,West Humber-Clairville (1),Male,45 to 54,Adult,Criminal Code Traffic,Refuse Sample,1
28514,2018,D43,123,Cliffcrest (123),Female,<18,Youth,Other Criminal Code Violations,Other,2
28515,2020,D55,60,Woodbine-Lumsden (60),Male,35 to 44,Adult,Crimes Against the Person,Other,2
28516,2015,D12,112,Beechborough-Greenbrook (112),Male,45 to 54,Adult,Crimes Against Property,Other,2
28517,2022,D41,121,Oakridge (121),Male,45 to 54,Adult,Other Criminal Code Violations,Other,10
28518,2018,D31,154,Oakdale-Beverley Heights (154),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,11
28519,2014,D12,111,Rockcliffe-Smythe (111),Male,25 to 34,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,3
28520,2020,D43,141,Golfdale-Cedarbrae-Woburn (141),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4
28521,2018,D41,120,Clairlea-Birchmount (120),Male,45 to 54,Adult,Crimes Against the Person,Other,3
28522,2019,D55,66,Danforth (66),Female,<18,Youth,Crimes Against the Person,Assaults,1
28523,2019,D23,1,West Humber-Clairville (1),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,14
28524,2019,D43,136,West Hill (136),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,5
28525,2020,D14,78,Kensington-Chinatown (78),Male,25 to 34,Adult,Crimes Against the Person,Sexual Violations,2
28526,2021,D32,31,Yorkdale-Glen Park (31),Male,35 to 44,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
28527,2016,D32,39,Bedford Park-Nortown (39),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,1
28528,2019,D12,29,Maple Leaf (29),Female,25 to 34,Adult,Crimes Against the Person,Robbery,1
28529,2018,D22,159,Etobicoke City Centre (159),Male,35 to 44,Adult,Criminal Code Traffic,Drive While Disqualified,1
28530,2015,D55,64,Woodbine Corridor (64),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,2
28531,2020,D42,146,Malvern East (146),Male,55 to 64,Adult,Other Criminal Code Violations,Other,5
28532,2020,D12,113,Weston (113),Male,55 to 64,Adult,Controlled Drugs and Substances Act,Other,6
28533,2015,D11,171,Junction-Wallace Emerson (171),Female,35 to 44,Adult,Crimes Against Property,Theft Under $5000,2
28534,2014,D42,146,Malvern East (146),Female,25 to 34,Adult,Other Criminal Code Violations,Other,3
28535,2014,D53,103,Lawrence Park South (103),Male,18 to 24,Adult,Other Criminal Code Violations,Other,2
28536,2018,D11,91,Weston-Pelham Park (91),Male,25 to 34,Adult,Other Criminal Code Violations,Other,13
28537,2018,D14,79,University (79),Male,35 to 44,Adult,Crimes Against the Person,Other,2
28538,2017,D32,31,Yorkdale-Glen Park (31),Female,<18,Youth,Controlled Drugs and Substances Act,Other,1
28539,2018,D11,87,High Park-Swansea (87),Male,55 to 64,Adult,Crimes Against Property,Other,2
28540,2016,D32,151,Yonge-Doris (151),Female,18 to 24,Adult,Crimes Against the Person,Assaults,4
28541,2019,D14,79,University (79),Male,55 to 64,Adult,Crimes Against the Person,Other,1
28542,2018,D41,119,Wexford/Maryvale (119),Male,55 to 64,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
28543,2017,D23,6,Kingsview Village-The Westway (6),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,4
28544,2016,D53,100,Yonge-Eglinton (100),Female,25 to 34,Adult,Controlled Drugs and Substances Act,Other,2
28545,2019,D43,NSA,NSA,Male,35 to 44,Adult,Crimes Against the Person,Other,1
28546,2015,D51,166,St Lawrence-East Bayfront-The Islands (166),Male,55 to 64,Adult,Crimes Against Property,Other,3
28547,2016,D31,25,Glenfield-Jane Heights (25),Male,25 to 34,Adult,Crimes Against Property,Fraud,1
28548,2015,D43,142,Woburn North (142),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,2
28549,2020,D41,120,Clairlea-Birchmount (120),Male,45 to 54,Adult,Other Criminal Code Violations,Other,9
28550,2020,D52,164,Wellington Place (164),Male,45 to 54,Adult,Crimes Against the Person,Assaults,3
28551,2022,D55,68,North Riverdale (68),Male,45 to 54,Adult,Crimes Against the Person,Other,2
28552,2018,D12,23,Pelmo Park-Humberlea (23),Male,18 to 24,Adult,Other Criminal Code Violations,Other,3
28553,2018,D55,43,Victoria Village (43),Male,35 to 44,Adult,Other Criminal Code Violations,Other,8
28554,2022,D13,106,Humewood-Cedarvale (106),Male,45 to 54,Adult,Crimes Against the Person,Sexual Violations,2
28555,2021,D55,68,North Riverdale (68),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,1
28556,2019,D22,159,Etobicoke City Centre (159),Female,65+,Adult,Criminal Code Traffic,Refuse Sample,1
28557,2021,D14,80,Palmerston-Little Italy (80),Male,55 to 64,Adult,Crimes Against the Person,Sexual Violations,1
28558,2022,D53,174,South Eglinton-Davisville (174),Male,35 to 44,Adult,Other Criminal Code Violations,Other,8
28559,2015,D55,64,Woodbine Corridor (64),Male,35 to 44,Adult,Crimes Against Property,Break and Enter,1
28560,2017,D32,151,Yonge-Doris (151),Male,25 to 34,Adult,Crimes Against Property,Fraud,2
28561,2018,D55,65,Greenwood-Coxwell (65),Female,18 to 24,Adult,Controlled Drugs and Substances Act,Other,1
28562,2021,D22,161,Humber Bay Shores (161),Female,25 to 34,Adult,Crimes Against the Person,Assaults,6
28563,2022,D52,164,Wellington Place (164),Male,45 to 54,Adult,Crimes Against Property,Fraud,1
28564,2014,D22,16,Stonegate-Queensway (16),Male,55 to 64,Adult,Other Criminal Code Violations,Other,9
28565,2022,D22,159,Etobicoke City Centre (159),Male,25 to 34,Adult,Crimes Against Property,Fraud,3
28566,2019,D12,90,Junction Area (90),Male,35 to 44,Adult,Crimes Against Property,Fraud,1
28567,2019,D13,101,Forest Hill South (101),Male,25 to 34,Adult,Crimes Against the Person,Other,1
28568,2019,D33,48,Hillcrest Village (48),Female,18 to 24,Adult,Other Criminal Code Violations,Other,1
28569,2020,D51,74,North St.James Town (74),Female,25 to 34,Adult,Crimes Against Property,Fraud,1
28570,2021,D41,126,Dorset Park (126),Male,35 to 44,Adult,Criminal Code Traffic,Drive While Disqualified,1
28571,2016,D51,74,North St.James Town (74),Male,<18,Youth,Crimes Against the Person,Assaults,2
28572,2015,D23,2,Mount Olive-Silverstone-Jamestown (2),Male,18 to 24,Adult,Crimes Against the Person,Assaults,24
28573,2016,D11,86,Roncesvalles (86),Female,18 to 24,Adult,Crimes Against Property,Other,5
28574,2022,D14,164,Wellington Place (164),Male,45 to 54,Adult,Crimes Against the Person,Assaults,6
28575,2019,D11,87,High Park-Swansea (87),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,1
28576,2019,D55,44,Flemingdon Park (44),Male,18 to 24,Adult,Crimes Against Property,Other,13
28577,2014,D42,145,Malvern West (145),Male,25 to 34,Adult,Crimes Against the Person,Firearm-Related,1
28578,2018,D52,168,Downtown Yonge East (168),Female,25 to 34,Adult,Controlled Drugs and Substances Act,Other,2
28579,2015,D41,121,Oakridge (121),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,13
28580,2019,D31,23,Pelmo Park-Humberlea (23),Male,<18,Youth,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
28581,2016,D55,58,Old East York (58),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,2
28582,2016,D42,145,Malvern West (145),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,2
28583,2014,D14,85,South Parkdale (85),Female,35 to 44,Adult,Crimes Against Property,Theft Under $5000,3
28584,2016,D52,164,Wellington Place (164),Male,35 to 44,Adult,Crimes Against Property,Other,11
28585,2022,D51,73,Moss Park (73),Female,25 to 34,Adult,Criminal Code Traffic,Drive While Disqualified,1
28586,2016,D55,64,Woodbine Corridor (64),Male,<18,Youth,Crimes Against the Person,Robbery,1
28587,2018,D32,31,Yorkdale-Glen Park (31),Male,35 to 44,Adult,Crimes Against the Person,Other,1
28588,2018,D12,91,Weston-Pelham Park (91),Male,18 to 24,Adult,Crimes Against the Person,Other,1
28589,2014,D12,28,Rustic (28),Female,35 to 44,Adult,Crimes Against the Person,Assaults,2
28590,2017,D13,92,Corso Italia-Davenport (92),Female,25 to 34,Adult,Controlled Drugs and Substances Act,Other,2
28591,2018,D42,143,West Rouge (143),Male,45 to 54,Adult,Crimes Against the Person,Other,1
28592,2021,D23,6,Kingsview Village-The Westway (6),Male,<18,Youth,Crimes Against the Person,Robbery,4
28593,2015,D42,118,Tam O'Shanter-Sullivan (118),Male,25 to 34,Adult,Crimes Against Property,Break and Enter,1
28594,2014,D11,86,Roncesvalles (86),Female,25 to 34,Adult,Other Criminal Code Violations,Other,4
28595,2015,D23,2,Mount Olive-Silverstone-Jamestown (2),Male,25 to 34,Adult,Crimes Against Property,Other,11
