_id,ARREST_YEAR,DIVISION,HOOD_158,NEIGHBOURHOOD_158,SEX,AGE_COHORT,AGE_GROUP,CATEGORY,SUBTYPE,ARREST_COUNT
158,2017,D12,112,Beechborough-Greenbrook (112),Female,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
159,2022,D11,87,High Park-Swansea (87),Male,25 to 34,Adult,Crimes Against Property,Other,7
160,2019,D52,170,Yonge-Bay Corridor (170),Male,25 to 34,Adult,Other Criminal Code Violations,Other,263
161,2020,D43,140,Guildwood (140),Male,<18,Youth,Crimes Against Property,Other,3
162,2014,D41,120,Clairlea-Birchmount (120),Male,35 to 44,Adult,Criminal Code Traffic,Refuse Sample,1
163,2022,D52,79,University (79),Female,25 to 34,Adult,Crimes Against the Person,Assaults,2
164,2015,D31,155,Downsview (155),Female,55 to 64,Adult,Crimes Against Property,Other,1
165,2018,D53,174,South Eglinton-Davisville (174),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,1
166,2014,D12,112,Beechborough-Greenbrook (112),Female,65+,Adult,Crimes Against Property,Theft Under $5000,1
167,2021,D31,154,Oakdale-Beverley Heights (154),Female,45 to 54,Adult,Crimes Against Property,Fraud,3
168,2020,D23,3,Thistletown-Beaumond Heights (3),Male,35 to 44,Adult,Crimes Against the Person,Assaults,5
169,2016,D55,59,Danforth East York (59),Male,35 to 44,Adult,Crimes Against Property,Break and Enter,1
170,2021,D11,84,Little Portugal (84),Male,35 to 44,Adult,Other Criminal Code Violations,Other,5
171,2016,D51,166,St Lawrence-East Bayfront-The Islands (166),Male,35 to 44,Adult,Crimes Against Property,Fraud,2
172,2021,D13,106,Humewood-Cedarvale (106),Female,18 to 24,Adult,Crimes Against the Person,Other,1
173,2019,D31,23,Pelmo Park-Humberlea (23),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,1
174,2017,D12,110,Keelesdale-Eglinton West (110),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,2
175,2022,D14,79,University (79),Female,35 to 44,Adult,Crimes Against the Person,Assaults,1
176,2018,D13,106,Humewood-Cedarvale (106),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,1
177,2021,D32,34,Bathurst Manor (34),Male,25 to 34,Adult,Other Criminal Code Violations,Other,6
178,2020,D32,153,Avondale (153),Male,55 to 64,Adult,Crimes Against the Person,Sexual Violations,1
179,2021,D13,106,Humewood-Cedarvale (106),Male,18 to 24,Adult,Crimes Against the Person,Assaults,5
180,2017,D43,133,Centennial Scarborough (133),Female,45 to 54,Adult,Crimes Against Property,Other,1
181,2017,D31,154,Oakdale-Beverley Heights (154),Female,18 to 24,Adult,Crimes Against the Person,Assaults,3
182,2018,D13,171,Junction-Wallace Emerson (171),Male,35 to 44,Adult,Crimes Against Property,Other,3
183,2017,D22,159,Etobicoke City Centre (159),Male,35 to 44,Adult,Crimes Against Property,Other,7
184,2016,D41,123,Cliffcrest (123),Male,<18,Youth,Crimes Against Property,Break and Enter,2
185,2015,D55,54,O'Connor-Parkview (54),Male,18 to 24,Adult,Crimes Against Property,Other,4
186,2015,D41,122,Birchcliffe-Cliffside (122),Male,45 to 54,Adult,Crimes Against the Person,Assaults,8
187,2014,D41,122,Birchcliffe-Cliffside (122),Male,18 to 24,Adult,Crimes Against Property,Other,8
188,2019,D31,155,Downsview (155),Male,55 to 64,Adult,Crimes Against the Person,Assaults,3
189,2018,D22,13,Etobicoke West Mall (13),Male,45 to 54,Adult,Crimes Against Property,Other,1
190,2022,D12,113,Weston (113),Male,35 to 44,Adult,Crimes Against the Person,Assaults,21
